"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.00281016562179e-44,3.19076611207799,0.756,0.099,3.80313622349922e-40,"10","CLN8"
3.55821570889569e-44,1.22818183981625,1,0.228,6.75669580962203e-40,"10","IGKC"
4.13448195333206e-44,3.56731154159402,0.366,0.023,7.85096778118224e-40,"10","GPM6B"
4.92625410571512e-44,2.97949815173892,0.805,0.114,9.35446392134244e-40,"10","MGST2"
6.11822956454386e-44,3.34569611537926,0.537,0.05,1.16179061201123e-39,"10","TNNI2"
1.28115584034819e-43,2.77026645264936,0.902,0.139,2.43278682523717e-39,"10","SCARB2"
2.0334301572899e-43,3.60455937785083,0.976,0.227,3.86128052567778e-39,"10","MAPKAPK2"
9.86724442266314e-43,2.64285449347321,0.902,0.138,1.8736910434195e-38,"10","PLA2G16"
2.82762781953017e-42,3.03166946176685,0.439,0.034,5.36938246650584e-38,"10","IL18R1"
3.06683036881912e-42,3.30269738116102,0.366,0.024,5.82360418735063e-38,"10","E2F5"
3.80507375570994e-42,3.24470249396936,0.927,0.175,7.22545455471761e-38,"10","RRBP1"
5.98062341883511e-42,3.36587917619134,0.61,0.067,1.1356605810026e-37,"10","GNA15"
6.287582341209e-42,3.43889473675054,0.488,0.043,1.19394901077218e-37,"10","ALCAM"
7.6164557350846e-42,3.12514506619996,0.463,0.038,1.44628877953522e-37,"10","IGFBP3"
9.71209013808128e-42,3.15909928205282,0.659,0.079,1.84422879632025e-37,"10","SUSD1"
1.29375631360907e-41,3.69231668320615,0.512,0.048,2.45671386391226e-37,"10","TLR7"
2.24295749265198e-41,4.74801652936941,1,0.307,4.25915198279684e-37,"10","PPP1R14B"
5.29383445215576e-41,3.0904683486006,0.439,0.035,1.00524622411986e-36,"10","MCOLN2"
7.43964621341202e-41,3.21023546463892,0.951,0.212,1.41271441946481e-36,"10","VEGFB"
8.27627125875902e-40,2.91324850013603,0.927,0.177,1.57158114932575e-35,"10","RGS1"
3.62390533482811e-39,2.61955381007554,0.756,0.104,6.88143384030509e-35,"10","SNX9"
4.11696059404809e-39,3.27570930278924,0.561,0.061,7.81769647203791e-35,"10","CMKLR1"
5.22508834829261e-39,3.05253326925085,0.976,0.239,9.92192026457284e-35,"10","GZMB"
7.9969937636258e-39,2.58904930151143,1,0.215,1.5185491457749e-34,"10","TGFBI"
1.29731638724182e-38,3.32868366153889,1,0.305,2.4634740877335e-34,"10","C12orf75"
1.73712112525358e-38,2.62794648103305,0.732,0.1,3.29861930474402e-34,"10","CYSTM1"
1.98656840942993e-38,3.50649532075531,0.463,0.043,3.77229475266649e-34,"10","MILR1"
2.33868487767661e-38,2.18867867985251,0.415,0.034,4.44092871422011e-34,"10","SNCA"
3.1935779841789e-38,2.78912407480533,0.707,0.094,6.06428523415731e-34,"10","SMC6"
